project_id,timestamp,house_no,raw_p_h,raw_p_h_pv,raw_e_h_im,raw_e_h_ex,flag
SGtechMicrogrid,2025-04-05 00:00:00,h2,0.74,0.0,148170.664,0.0,0.0
SGtechMicrogrid,2025-04-05 00:15:00,h2,0.7186666666666667,0.0,148170.846,0.0,0.0
SGtechMicrogrid,2025-04-05 00:30:00,h2,0.6886666666666666,0.0,148171.02266666666,0.0,0.0
SGtechMicrogrid,2025-04-05 00:45:00,h2,0.7246666666666666,0.0,148171.20066666667,0.0,0.0
SGtechMicrogrid,2025-04-05 01:00:00,h2,0.74,0.0,148171.37933333332,0.0,0.0
SGtechMicrogrid,2025-04-05 01:15:00,h2,0.7306666666666666,0.0,148171.5606666667,0.0,0.0
SGtechMicrogrid,2025-04-05 01:30:00,h2,0.7333333333333333,0.0,148171.75199999998,0.0,0.0
SGtechMicrogrid,2025-04-05 01:45:00,h2,0.73,0.0,148171.93133333334,0.0,0.0
SGtechMicrogrid,2025-04-05 02:00:00,h2,0.7260000000000001,0.0,148172.11200000002,0.0,0.0
SGtechMicrogrid,2025-04-05 02:15:00,h2,0.7293333333333333,0.0,148172.2933333333,0.0,0.0
SGtechMicrogrid,2025-04-05 02:30:00,h2,0.722,0.0,148172.48,0.0,0.0
SGtechMicrogrid,2025-04-05 02:45:00,h2,0.648,0.0,148172.65200000003,0.0,0.0
SGtechMicrogrid,2025-04-05 03:00:00,h2,0.6306666666666667,0.0,148172.80733333333,0.0,0.0
SGtechMicrogrid,2025-04-05 03:15:00,h2,0.6366666666666667,0.0,148172.962,0.0,0.0
SGtechMicrogrid,2025-04-05 03:30:00,h2,0.638,0.0,148173.13066666666,0.0,0.0
SGtechMicrogrid,2025-04-05 03:45:00,h2,0.6326666666666667,0.0,148173.286,0.0,0.0
SGtechMicrogrid,2025-04-05 04:00:00,h2,0.6306666666666667,0.0,148173.44400000002,0.0,0.0
SGtechMicrogrid,2025-04-05 04:15:00,h2,0.63,0.0,148173.59933333335,0.0,0.0
SGtechMicrogrid,2025-04-05 04:30:00,h2,0.63,0.0,148173.76533333334,0.0,0.0
SGtechMicrogrid,2025-04-05 04:45:00,h2,0.63,0.0,148173.92,0.0,0.0
SGtechMicrogrid,2025-04-05 05:00:00,h2,0.63,0.0,148174.074,0.0,0.0
SGtechMicrogrid,2025-04-05 05:15:00,h2,0.6293333333333333,0.0,148174.22733333334,0.0,0.0
SGtechMicrogrid,2025-04-05 05:30:00,h2,0.5833333333333334,0.0,148174.38866666667,0.0,0.0
SGtechMicrogrid,2025-04-05 05:45:00,h2,0.444,0.0,148174.52333333337,0.0,0.0
SGtechMicrogrid,2025-04-05 06:00:00,h2,0.3393333333333333,0.0,148174.61333333334,0.0,0.0
SGtechMicrogrid,2025-04-05 06:15:00,h2,0.338,0.0,148174.69466666665,0.0,0.0
SGtechMicrogrid,2025-04-05 06:30:00,h2,0.3373333333333334,0.0,148174.77733333333,0.0,0.0
SGtechMicrogrid,2025-04-05 06:45:00,h2,0.3006666666666666,0.0,148174.85666666666,0.0,0.0
SGtechMicrogrid,2025-04-05 07:00:00,h2,0.298,0.0,148174.93066666665,0.0,0.0
SGtechMicrogrid,2025-04-05 07:15:00,h2,0.3,0.0,148175.01533333334,0.0,0.0
SGtechMicrogrid,2025-04-05 07:30:00,h2,0.3,0.0,148175.09266666663,0.0,0.0
SGtechMicrogrid,2025-04-05 07:45:00,h2,0.3,0.0,148175.16733333335,0.0,0.0
SGtechMicrogrid,2025-04-05 08:00:00,h2,0.3,0.0,148175.23866666667,0.0,0.0
SGtechMicrogrid,2025-04-05 08:15:00,h2,0.2986666666666666,0.0,148175.31199999998,0.0,0.0
SGtechMicrogrid,2025-04-05 08:30:00,h2,0.294,0.0,148175.38666666666,0.0,0.0
SGtechMicrogrid,2025-04-05 08:45:00,h2,0.2966666666666667,0.0,148175.45533333335,0.0,0.0
SGtechMicrogrid,2025-04-05 09:00:00,h2,0.3513333333333333,0.0,148175.534,0.0,0.0
SGtechMicrogrid,2025-04-05 09:15:00,h2,0.38,0.0,148175.62733333334,0.0,0.0
SGtechMicrogrid,2025-04-05 09:30:00,h2,0.3813333333333333,0.0,148175.73400000003,0.0,0.0
SGtechMicrogrid,2025-04-05 09:45:00,h2,0.384,0.0,148175.82866666664,0.0,0.0
SGtechMicrogrid,2025-04-05 10:00:00,h2,0.39,0.0,148175.9246666667,0.0,0.0
SGtechMicrogrid,2025-04-05 10:15:00,h2,0.39,0.0,148176.01866666664,0.0,0.0
SGtechMicrogrid,2025-04-05 10:30:00,h2,0.39,0.0,148176.11333333334,0.0,0.0
SGtechMicrogrid,2025-04-05 10:45:00,h2,0.3886666666666666,0.0,148176.20733333335,0.0,0.0
SGtechMicrogrid,2025-04-05 11:00:00,h2,0.388,0.0,148176.30866666665,0.0,0.0
SGtechMicrogrid,2025-04-05 11:15:00,h2,0.3886666666666666,0.0,148176.414,0.0,0.0
SGtechMicrogrid,2025-04-05 11:30:00,h2,0.39,0.0,148176.50666666668,0.0,0.0
SGtechMicrogrid,2025-04-05 11:45:00,h2,0.39,0.0,148176.60199999998,0.0,0.0
SGtechMicrogrid,2025-04-05 12:00:00,h2,0.39,0.0,148176.696,0.0,0.0
SGtechMicrogrid,2025-04-05 12:15:00,h2,0.3926666666666667,0.0,148176.792,0.0,0.0
SGtechMicrogrid,2025-04-05 12:30:00,h2,0.3913333333333333,0.0,148176.88866666667,0.0,0.0
SGtechMicrogrid,2025-04-05 12:45:00,h2,0.3986666666666666,0.0,148176.99000000002,0.0,0.0
SGtechMicrogrid,2025-04-05 13:00:00,h2,0.3993333333333334,0.0,148177.09466666667,0.0,0.0
SGtechMicrogrid,2025-04-05 13:15:00,h2,0.394,0.0,148177.19266666667,0.0,0.0
SGtechMicrogrid,2025-04-05 13:30:00,h2,0.39,0.0,148177.29066666667,0.0,0.0
SGtechMicrogrid,2025-04-05 13:45:00,h2,0.392,0.0,148177.38733333335,0.0,0.0
SGtechMicrogrid,2025-04-05 14:00:00,h2,0.39,0.0,148177.48133333336,0.0,0.0
SGtechMicrogrid,2025-04-05 14:15:00,h2,0.394,0.0,148177.57599999997,0.0,0.0
SGtechMicrogrid,2025-04-05 14:30:00,h2,0.3913333333333333,0.0,148177.68333333332,0.0,0.0
SGtechMicrogrid,2025-04-05 14:45:00,h2,0.39,0.0,148177.78533333333,0.0,0.0
SGtechMicrogrid,2025-04-05 15:00:00,h2,0.39,0.0,148177.882,0.0,0.0
SGtechMicrogrid,2025-04-05 15:15:00,h2,0.3906666666666666,0.0,148177.97733333334,0.0,0.0
SGtechMicrogrid,2025-04-05 15:30:00,h2,0.3906666666666666,0.0,148178.072,0.0,0.0
SGtechMicrogrid,2025-04-05 15:45:00,h2,0.4,0.0,148178.17066666667,0.0,0.0
SGtechMicrogrid,2025-04-05 16:00:00,h2,0.3953333333333333,0.0,148178.26666666666,0.0,0.0
SGtechMicrogrid,2025-04-05 16:15:00,h2,0.3926666666666667,0.0,148178.37733333334,0.0,0.0
SGtechMicrogrid,2025-04-05 16:30:00,h2,0.4,0.0,148178.47666666663,0.0,0.0
SGtechMicrogrid,2025-04-05 16:45:00,h2,0.4,0.0,148178.574,0.0,0.0
SGtechMicrogrid,2025-04-05 17:00:00,h2,0.4,0.0,148178.67066666667,0.0,0.0
SGtechMicrogrid,2025-04-05 17:15:00,h2,0.3953333333333333,0.0,148178.76866666664,0.0,0.0
SGtechMicrogrid,2025-04-05 17:30:00,h2,0.306,0.0,148178.854,0.0,0.0
SGtechMicrogrid,2025-04-05 17:45:00,h2,0.4353333333333333,0.0,148178.9326666667,0.0,0.0
SGtechMicrogrid,2025-04-05 18:00:00,h2,0.592,0.0,148179.08466666666,0.0,0.0
SGtechMicrogrid,2025-04-05 18:15:00,h2,0.6126666666666666,0.0,148179.22933333332,0.0,0.0
SGtechMicrogrid,2025-04-05 18:30:00,h2,0.6373333333333334,0.0,148179.38533333334,0.0,0.0
SGtechMicrogrid,2025-04-05 18:45:00,h2,0.634,0.0,148179.536,0.0,0.0
SGtechMicrogrid,2025-04-05 19:00:00,h2,0.6413333333333334,0.0,148179.704,0.0,0.0
SGtechMicrogrid,2025-04-05 19:15:00,h2,0.646,0.0,148179.87,0.0,0.0
SGtechMicrogrid,2025-04-05 19:30:00,h2,0.6473333333333334,0.0,148180.02533333332,0.0,0.0
SGtechMicrogrid,2025-04-05 19:45:00,h2,0.65,0.0,148180.18333333332,0.0,0.0
SGtechMicrogrid,2025-04-05 20:00:00,h2,0.6493333333333333,0.0,148180.34933333335,0.0,0.0
SGtechMicrogrid,2025-04-05 20:15:00,h2,0.644,0.0,148180.51200000002,0.0,0.0
SGtechMicrogrid,2025-04-05 20:30:00,h2,0.6513333333333333,0.0,148180.67266666665,0.0,0.0
SGtechMicrogrid,2025-04-05 20:45:00,h2,0.6526666666666667,0.0,148180.83333333334,0.0,0.0
SGtechMicrogrid,2025-04-05 21:00:00,h2,0.66,0.0,148180.99866666665,0.0,0.0
SGtechMicrogrid,2025-04-05 21:15:00,h2,0.6333333333333333,0.0,148181.16600000003,0.0,0.0
SGtechMicrogrid,2025-04-05 21:30:00,h2,0.61,0.0,148181.316,0.0,0.0
SGtechMicrogrid,2025-04-05 21:45:00,h2,0.6266666666666667,0.0,148181.46466666667,0.0,0.0
SGtechMicrogrid,2025-04-05 22:00:00,h2,0.6306666666666667,0.0,148181.62466666667,0.0,0.0
SGtechMicrogrid,2025-04-05 22:15:00,h2,0.61,0.0,148181.788,0.0,0.0
SGtechMicrogrid,2025-04-05 22:30:00,h2,0.61,0.0,148181.93666666668,0.0,0.0
SGtechMicrogrid,2025-04-05 22:45:00,h2,0.628,0.0,148182.08533333332,0.0,0.0
SGtechMicrogrid,2025-04-05 23:00:00,h2,0.6593333333333333,0.0,148182.242,0.0,0.0
SGtechMicrogrid,2025-04-05 23:15:00,h2,0.608,0.0,148182.414,0.0,0.0
SGtechMicrogrid,2025-04-05 23:30:00,h2,0.6326666666666667,0.0,148182.56466666664,0.0,0.0
SGtechMicrogrid,2025-04-05 23:45:00,h2,0.6406666666666666,0.0,148182.71866666668,0.0,0.0
